row_id,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp_ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,s3_key,label
1,6134.619096573832,4971.857652714122,11312.629132231405,0.06889339058195593,-578.9886,62.405308,-8.723742,13.80744,1.7894573,6.853794,-6.7793727,6134.619096573832,77.05049032445373,52.063107626740326,121.7003513670591,1.6812289,-3.129482,-0.8724672,-9.711343,-3.922256,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-01.wav,Angry
2,4555.87635347123,4131.910811906407,8682.33695652174,0.06092900815217391,-588.2538,59.247963,-8.007299,4.5422053,-1.3240751,0.973125,-9.401972,4555.87635347123,114.8712829195009,50.28964705339267,180.25009252216606,2.055398,-7.9198165,-6.6781945,-1.9953742,-2.865559,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-02.wav,Angry
3,5470.014223422788,5320.017984774013,11139.045877659575,0.09574468085106383,-653.062,87.55609,-0.48391917,21.858513,4.6849995,17.147743,-7.514381,5470.014223422788,51.314312712747785,50.0,56.12310241546865,3.4820664,-10.200921,-5.4551105,-2.633465,-4.0951796,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-03.wav,Angry
4,4850.116737314746,4208.027807111903,9083.984375,0.06976528825431035,-585.7502,52.76343,-10.84847,5.0388355,-3.4996076,-2.764649,-9.9780855,4850.116737314746,119.66007289595535,50.0,172.11028744886602,-1.513591,-9.520382,-9.057547,-5.041693,-4.5158396,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-04.wav,Angry
5,5791.790218560474,5195.901891001676,11145.209194214876,0.06582515495867769,-567.5401,77.56695,-8.457943,3.9207327,1.9460756,11.819976,-14.057415,5791.790218560474,86.78440771178185,58.43886242806228,131.19081044374488,-2.2653155,-1.5817608,-2.4103537,-5.664477,-3.5412092,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-05.wav,Angry
6,5686.654741076562,4909.030575564148,10575.609110169491,0.08465058924788135,-648.0218,63.347202,-16.731075,3.6040092,1.2166497,3.2086384,-13.740052,5686.654741076562,116.34763257754949,78.91291473386414,160.5845763726753,-3.5743408,-8.288426,-6.9835887,-2.4755275,-2.03402,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-06.wav,Angry
7,4284.969300563156,4666.49753710825,9023.562167553191,0.05412000290890957,-544.7713,73.16178,-10.358592,13.33844,4.8100553,15.029964,-13.304914,4284.969300563156,88.68333685081262,65.59540522187244,132.71517423385683,6.249742,-5.0035567,-7.414772,-1.2825497,2.6496706,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-07.wav,Angry
8,5218.101655813298,5466.214775306934,11163.725754310344,0.059727460488505746,-590.5436,67.69341,-2.1318114,9.235489,4.0921903,6.917274,-7.99332,5218.101655813298,113.13042914917717,90.64713534281104,147.25670581005258,10.75549,-3.011429,-4.380231,0.6687901,-2.6017606,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-08.wav,Angry
9,6186.892467399665,5532.5479271420145,12038.059701492537,0.05260902518656716,-746.457,86.92581,3.5716078,15.467492,11.325593,24.662954,-1.4816074,6186.892467399665,51.13776933366175,50.0,67.5174973084095,3.1364393,-3.2758784,-2.1990356,-2.6134233,0.8091988,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-09.wav,Angry
10,4243.71072611645,4532.3504784177285,8260.886270491803,0.10248303022540983,-553.4702,88.234634,-2.3688939,8.792578,3.0291748,6.401692,-14.07958,4243.71072611645,121.51148993353549,69.0956439983888,250.53288772482557,-0.15231356,-15.495274,-12.7613,-2.7191937,-3.6386392,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-10.wav,Angry
